ID,Prompt 1,Prompt 2,Is Prompt 1,Is Prompt 2,Neither / Wrong,Prompts visually identical (image),Prompts visually identical (3D),Prompts visually identical (video)
227,A person playing the violin in a concert hall,A person attending a concert in a concert hall,,,,,,
228,A chef sautéing vegetables on the stove,A chef tasting the soup in the kitchen,,,,,,
229,a cricket on the field,a cricket match on the field,,,,,,
230,a plane flying in the sky,a carpenter's plane in the sky,,,,,,
231,a lamp on the left side of the desk,a lamp on the right side of the des,,,,,,
232,A person reflecting on their personal growth,A person considering a new hairstyle,,,,,,
233,a peaceful walk through the wood,a solitary walk through the woods,,,,,,
234,A kitchen with a chef preparing a meal,A chef posing for a photo in a kitchen,,,,,,
235,A family enjoying breakfast together in the kitchen,A family playing a board game in the kitchen,,,,,,
236,People waiting in line at a bus stop,A bus stop with no people around,,,,,,
237,a close-up of a seal,close-up of a sealed envelope,,,,,,
238,a cat chased a mouse,a cat is chasing a mouse,,,,,,
239,a man finished painting a room,a man is painting a room,,,,,,
240,A man lost in his thoughts,A lost man looking for directions,,,,,,
241,an old man reminiscing about his past,an old man regretting his past,,,,,,
242,A kitchen with a chef preparing a meal,A chef posing for a photo in a kitchen,,,,,,
243,the violin was played by the musician,the musician was played by the violin,,,,,,
244,an artist sketched a portrait,an artist is sketching a portrait,,,,,,
245,the window was broken by the storm,the storm was broken by the window,,,,,,
246,a forest with a waterfall,a forest without a waterfall,,,,,,
247,"A calm, tranquil forest scene",A forest fire creating chaos and destruction,,,,,,
248,a heavy wooden door,a light wooden door,,,,,,
249,An architect designing a building that represents unity,An architect drawing a blueprint for a house,,,,,,
250,a tall man wearing a hat,a short man wearing a hat,,,,,,
251,a cat sitting on top of a car,a cat sitting under a car,,,,,,
252,a bed with pillows at the head,a bed with pillows at the foot,,,,,,
253,a plate with some cookies,a plate overflowing with cookies,,,,,,
254,A cheerful dog wagging its tail,A frightened dog hiding under a table,,,,,,
255,a messy room with clothes on the floo,an untidy room with clothes on the floor,,,,,,
256,a house with a red door,a house without a red door,,,,,,
257,A person playing the violin in a concert hall,A person attending a concert in a concert hall,,,,,,
258,A person organizing their kitchen pantry,A person making a smoothie in the kitchen,,,,,,
259,an angry man yelling at someone,a furious man yelling at someone,,,,,,
260,a room filled with people,a room without people,,,,,,
261,bass swimming in the water,playing bass guitar by the water,,,,,,
262,"a loud, booming thunder","a noisy, resounding thunder",,,,,,
263,a couple celebrated their anniversary,a couple is celebrating their anniversary,,,,,,
264,A cozy kitchen with a wooden floor,A wooden floor being installed in a kitchen,,,,,,
265,bass swimming in the water,playing bass guitar by the water,,,,,,
266,A musician composing a song about heartbreak,A musician tuning their instrument,,,,,,
267,a baby took her first steps,a baby is taking her first steps,,,,,,
268,A toilet with a colorful seat cover,Colorful seat covers for toilets displayed in a store,,,,,,
269,a clean white shirt,a dirty white shirt,,,,,,
270,a girl holding an umbrella in the rain,a girl not holding an umbrella in the rain,,,,,,
271,a cat lying inside a cardboard box,a cat lying outside a cardboard box,,,,,,
272,the book was read by the student,the student was read by the book,,,,,,
273,a serene mountain landscape,a treacherous mountain landscape,,,,,,
274,a farmer harvested corn,a farmer is harvesting corn,,,,,,
275,A couple is holding hands while walking,A teacher is writing on the blackboard,,,,,,
276,a tree with green leaves,a tree without green leaves,,,,,,
277,a tree with green leaves,a tree without green leaves,,,,,,
278,A person walking a dog on a leash,A dog running off-leash in a park,,,,,,
279,A woman shopping for groceries at a market,A woman selling produce at a market,,,,,,
280,a bicycle leaning against a wall,a bicycle hanging on a wall,,,,,,
281,A couple is holding hands while walking,A teacher is writing on the blackboard,,,,,,
282,A person pondering the meaning of life,A person thinking about their grocery list,,,,,,
283,People hiking up a mountain trail,A mountain trail with no people in sight,,,,,,
284,a bakery with a display case,a bakery without a display case,,,,,,
285,a car parked near the entrance,a car parked far from the entrance,,,,,,
286,a bakery with a display case,a bakery without a display case,,,,,,
287,A dog chasing its tail,A dog resting next to its toy,,,,,,
288,A chef adding a pinch of salt,A chef pinching a salt shake,,,,,,
289,A person plugging in a hairdryer in the bathroom,A person plugging in a curling iron in the bathroom,,,,,,
290,a noisy crowded street,a quiet crowded street,,,,,,
291,The flowers bloom in the garden,The stars twinkle in the night sky,,,,,,
292,A person arranging plates in a kitchen cupboard,A person arranging glasses in a kitchen cupboard,,,,,,
293,a couple enjoying a romantic dinner,a couple arguing during a romantic dinner,,,,,,
294,A man holding a camera while standing by a lake,A man taking a photo of his reflection in the lake,,,,,,
295,A lightbulb moment for an inventor,An inventor holding a glowing lightbulb,,,,,,
296,A person cleaning the oven in the kitchen,A person microwaving popcorn in the kitchen,,,,,,
297,a wide river,a narrow river,,,,,,
298,a couple enjoying a romantic dinner,a couple arguing during a romantic dinner,,,,,,
299,he sun rises over the city skyline,The rain pours down on the streets,,,,,,
300,a party with a handful of guests,a party with a large crowd of guests,,,,,,
301,A person playing fetch with their dog,A person walking their dog in the park,,,,,,
302,the cake was eaten by the child,the child was eaten by the cake,,,,,,
303,a tall man wearing a hat,a short man wearing a hat,,,,,,
304,a beach with seagulls,a beach without seagulls,,,,,,
305,a bookworm in a library,a book with a worm in a library,,,,,,
306,a warm and inviting bedroom,a cool and calming bedroom,,,,,,
307,a man taking a shot,a man taking a vaccine shot,,,,,,
308,a heavy wooden door,a light wooden door,,,,,,
309,A person mopping the kitchen floor,A person storing groceries in the kitchen,,,,,,
310,A cozy kitchen with a wooden floor,A wooden floor being installed in a kitchen,,,,,,
311,A fisherman casting a line into the ocean,A surfer riding a wave in the ocean,,,,,,
312,A family posing for a group photo,A family having a picnic in the park,,,,,,
313,A person arranging plates in a kitchen cupboard,A person arranging glasses in a kitchen cupboard,,,,,,
314,A person loading the dishwasher in the kitchen,A person making a sandwich in the kitchen,,,,,,
315,an angry man yelling at someone,a furious man yelling at someone,,,,,,
316,A baker decorating a cake,A baker serving a slice of cake,,,,,,
317,A person with a chip on their shoulder,A person with a potato chip on their shoulder,,,,,,
318,a busy city street with pedestrians,a busy city street without pedestrians,,,,,,
319,a room filled with people,a room without people,,,,,,
320,A person organizing their kitchen pantry,A person making a smoothie in the kitchen,,,,,,
321,A pizza with a slice removed,A pizza slice on a plate,,,,,,
322,A mother is cooking dinner for her family,A scientist is conducting an experiment,,,,,,
323,A proud artist showcasing their latest masterpiece,A frustrated artist struggling with their work,,,,,,
324,A scientist trying to understand the nature of consciousness,A scientist examining a microscope slid,,,,,,
325,a plate with some cookies,a plate overflowing with cookies,,,,,,
326,A philosopher contemplating the nature of reality,A person daydreaming about their vacation plans,,,,,,
327,the spider was scared of the human,the human was scared of the spider,,,,,,
328,A person is washing their car,An elephant is drinking from a river,,,,,,
329,a train with passengers,a train without passengers,,,,,,
330,A kitchen table set for dinner,A dinner party taking place in a kitchen,,,,,,
331,A couple tying the knot,A couple tying a knot in a rope,,,,,,
332,A scientist trying to understand the nature of consciousness,A scientist examining a microscope slid,,,,,,
333,a cat playing with a ball,a cat not playing with a ball,,,,,,
334,A person washing their hands in the kitchen sink,A person preparing a salad in the kitchen,,,,,,
335,a shelf with a few toys,a shelf packed with toys,,,,,,
336,A bowl of fruit on a kitchen counter,Fruits spread out on a kitchen counter,,,,,,
337,"a clean, well-organized office","a tidy, well-arranged office",,,,,,
338,A baby giggling in their mother's arms,A baby crying in their mother's arms,,,,,,
339,A sink full of dirty dishes,Dirty dishes piled on the counter near a sink,,,,,,
340,a birthday cake with candles,a birthday cake without candles,,,,,,
341,A toilet with a colorful seat cover,Colorful seat covers for toilets displayed in a store,,,,,,
342,A man fixing a clogged toilet in the bathroom,A man taking a selfie in the bathroom,,,,,,
343,a basketball hoop above a garage,a basketball hoop next to a garage,,,,,,
344,A person hanging a towel on a bathroom rack,A person placing a bath mat in the bathroom,,,,,,
345,a bookshelf beside a window,a bookshelf in front of a window,,,,,,
346,A man shaving with an electric razor,A man shaving with a manual razor,,,,,,
347,a basketball hoop above a garage,a basketball hoop next to a garage,,,,,,
348,A woman sewing a dress,A dress and sewing supplies on a table,,,,,,
349,A clean sink in a restaurant,A restaurant with clean tables and a sink,,,,,,
350,a rose in a glass vase,a person named Rose looking through a glass vase,,,,,,
351,a zoo with elephants,a zoo without elephants,,,,,,
352,A mother is cooking dinner for her family,A scientist is conducting an experiment,,,,,,
353,the bird was fed by the child,the child was fed by the bird,,,,,,
354,A man watering the plants in his garden,A garden filled with plants and a watering can,,,,,,
355,A woman feeling under the weather,A woman standing below a weather vane,,,,,,
356,A bird perched on a branch,A bird flying away from a branch,,,,,,
357,a vase with a couple of flowers,a vase with a large bouquet,,,,,,
358,a spacious modern kitchen,an elegant modern kitchen,,,,,,
359,A person reflecting on their personal growth,A person considering a new hairstyle,,,,,,
360,a person standing in front of a painting,a person standing behind a painting,,,,,,
361,A child is swinging on a swing,A fish is swimming in the water,,,,,,
362,A person changing a lightbulb in the bathroom,A person hanging a shower curtain in the bathroom,,,,,,
363,A man holding a camera while standing by a lake,A man taking a photo of his reflection in the lake,,,,,,
364,A team of employees collaborating on a project,A team of employees arguing over a project,,,,,,
365,a dog fetched a stick,a dog is fetching a stick,,,,,,
366,a sky with a few clouds,a sky full of clouds,,,,,,
367,a bright room with sunlight,a dim room with sunlight,,,,,,
368,a forest with a few trees,a dense forest,,,,,,
369,a happy dog playing in the park,a joyful dog playing in the park,,,,,,
370,People hiking up a mountain trail,A mountain trail with no people in sight,,,,,,
371,A kitchen table set for dinner,A dinner party taking place in a kitchen,,,,,,
372,A joyful reunion of old friends,A tense meeting between old rivals,,,,,,
373,a girl has planted a tree,a girl is planting a tree,,,,,,
374,a park with some people,a park with a lot of people,,,,,,
375,he sun rises over the city skyline,The rain pours down on the streets,,,,,,
376,a cat lying inside a cardboard box,a cat lying outside a cardboard box,,,,,,
377,the book was read by the student,the student was read by the book,,,,,,
378,Children riding bicycles in the park,Bicycles parked near a playground,,,,,,
379,a peaceful walk through the wood,a solitary walk through the woods,,,,,,
380,A butterfly lands on a flower,A rocket launches into spac,,,,,,
381,a warm and inviting bedroom,a cool and calming bedroom,,,,,,
382,A man brewing coffee in the kitchen,A man making tea in the kitchen,,,,,,
383,Toilet paper rolls neatly stacked,A stack of books next to a toilet,,,,,,
384,a dog chasing a squirrel,a dog not chasing a squirrel,,,,,,
385,A mother teaching her child about kindness,A mother helping her child with homework,,,,,,
386,A man shaving with an electric razor,A man shaving with a manual razor,,,,,,
387,"A calm, tranquil forest scene",A forest fire creating chaos and destruction,,,,,,
388,A happy family playing in the park,A family having a heated argument in the park,,,,,,
389,A family posing for a group photo,A family having a picnic in the park,,,,,,
390,A team of employees collaborating on a project,A team of employees arguing over a project,,,,,,
391,a ripe apple,an unripe apple,,,,,,
392,A modern bathroom with a glass shower,A glass filled with water in a bathroom,,,,,,
393,A person smiling while receiving a gift,A person disappointed by their received gift,,,,,,
394,A girl with stars in her eyes,A girl wearing star-shaped glasses,,,,,,
395,a ripe apple,an unripe apple,,,,,,
396,A person with a heart of gold,A person holding a golden heart-shaped object,,,,,,
397,A person with a heart of gold,A person holding a golden heart-shaped object,,,,,,
398,a large crowd gathered in the street,a big crowd assembled in the street,,,,,,
399,a girl holding an umbrella in the rain,a girl not holding an umbrella in the rain,,,,,,
400,a sky with a few clouds,a sky full of clouds,,,,,,
